kanjiName,longKanaName,shortKanaName,longRomajiName,shortRomajiName,japaneseDescription,GP,TP,Kick,Body,Control,Guard,Speed,Stamina,Guts
鬼道 有人,きどう ゆうと,きどう,Kidou Yuuto,Kidou,[天才/てんさい]ゲームメーカー。[技術/ぎじゅつ]　[戦略/せんりゃく]ともに[最高/さいこう]のプレイヤー。,255,255,84,84,84,84,84,84,84
佐久間 次郎,さくま じろう,さくま,Sakuma Jirou,Sakuma,[参謀役/さんぼうやく]としてチームをささえる。[強力/きょうりょく]な[連携技/れんけいわざ]をかくし[持/も]つ。,240,240,79,89,99,94,79,79,74
兵藤 雄平,ひょうどう ゆうへい,ひょうどう,Hyoudou Yuuhei,Hyoudou,[体/からだ]が[大/おお]きく[足/あし]も[速/はや]い。あっという[間/ま]に[相手/あいて]をぬきさる。,240,240,79,89,99,94,79,79,74
恵那 和樹,えな かずき,えな,Ena Kazuki,Ena,[故障/こしょう]がちなのでレギュラーではないがその[実力/じつりょく]は[十分/じゅうぶん]。,255,255,84,84,84,84,84,84,84
椋本 圭,むくもと けい,むくもと,Mukumoto Kei,Mukumoto,[体/からだ]は[小/ちい]さいけれどボールのキープ[力/りょく]はピカイチ。,255,255,84,84,84,84,84,84,84
渋木 翔大,しぶき しょうだい,しぶき,Shibuki Shoudai,Shibuki,[外見/がいけん]とはうらはらに[細/こま]やかなプレイが[得意/とくい]。,255,255,84,84,84,84,84,84,84
大楠 星士,おおくす せいじ,おおくす,Ookusu Seiji,Ookusu,ピンチの[時/とき]に[投入/とうにゅう]すると[熱/あつ]いプレイを[繰/く]り[広/ひろ]げるプレイヤー。,240,240,79,74,79,69,99,79,74
鉈 十三,なた じゅうぞう,じゅうぞう,Nata Juuzou,Juuzou,グラウンドの[草/くさ][刈/か]りにナタを[使/つか]うアブないヤツ。,240,240,79,74,79,69,99,79,74
三途 渡,さんず わたる,さんず,Sanzu Wataru,Sanzu,[霊/れい][体験/たいけん]をしてからは　[本人/ほんにん]も[生/い]きている[自信/じしん]が[持/も]てないという。,255,255,84,84,84,84,84,84,84
柳田 しげる,やなぎだ しげる,やなぎだ,Yanagida Shigeru,Yanagida,[妖怪/ようかい][研究/けんきゅう]が[趣味/しゅみ]。[何/なに]かあるとなんでも[妖怪/ようかい]のせいにする。,255,255,84,84,84,84,84,84,84
不乱 拳,ふらん けん,フランケン,Furan Ken,Furanken,[生/い]き[物/もの]を[作/つく]りだす[研究/けんきゅう]をしているが[生物/せいぶつ]はニガテ[科目/かもく]らしい。,300,225,99,99,69,79,69,99,79
屍 藤美,しかばね ふじみ,ふじみ,Shikabane Fujimi,Fujimi,[自分/じぶん]は[不死身/ふじみ]だと[信/しん]じて　わざとアブナいことをする[向/む]こう[見/み]ずな[男/おとこ]。,300,225,99,99,69,79,69,99,79
霊幻 道久,れいげん みちひさ,れいげん,Reigen Michihisa,Reigen,[体/からだ]がかたいので　はねるように[飛/と]び[回/まわ]って[相手/あいて]をかく[乱/らん]する。,240,240,79,89,99,94,79,79,74
木乃伊 魔美,きのい まみ,ミイラ,Kinoi Mami,Miira,[肌/はだ]がかんそうしやすい[体質/たいしつ]のため　いつも[包帯/ほうたい]をぐるぐるに[巻/ま]いている。,240,240,79,89,99,94,79,79,74
八墓 祟,やつはか たたる,やつはか,Yatsuhaka Tataru,Yatsuhaka,[呪/のろ]いやたたりにくわしく　[怒/おこ]らせると[災/わざわ]いがおとずれると[言/い]われている。,240,240,79,74,79,69,99,79,74
幽谷 博之,ゆうこく ひろゆき,ゆうこく,Yuukoku Hiroyuki,Yuukoku,するどい[霊感/れいかん]をいかして[有名選手/ゆうめいせんしゅ]の[霊/れい]からコーチを[受/う]けているらしい。,255,255,84,84,84,84,84,84,84
月村 憲一,つきむら けんいち,つきむら,Tsukimura Kenichi,Tsukimura,[月/つき]を[見/み]ると　[凶暴/きょうぼう]になるため「オオカミ[男/おとこ]」と[呼/よ]ばれている。,240,240,79,74,79,69,99,79,74
武羅渡 牙,ぶらど きば,ブラッド,Burado Kiba,Buraddo,ナイターで[最/もっと]も[活躍/かつやく]するフシギ[体質/たいしつ]。いつもトマトジュースを[飲/の]んでいる。,285,300,79,74,69,79,69,94,99
不死 祀,ふし まつる,ふし,Fushi Matsuru,Fushi,どんな[大/おお]けがにも　ほとんど[痛/いた]みを[感/かん]じない[体/からだ]の[持/も]ち[主/ぬし]。,300,225,99,99,69,79,69,99,79
人形 幻,ひとがた げん,にんぎょう,Hitogata Gen,Ningyou,[昔/むかし]の[記憶/きおく]がまったくなく　[自分/じぶん]を[人造人間/じんぞうにんげん]だと[思/おも]っている。,255,255,84,84,84,84,84,84,84
円谷 未知,つぶらや みち,つぶらや,Tsuburaya Michi,Tsuburaya,ＵＦＯの[存在/そんざい]を[信/しん]じており[毎晩/まいばん]　[夜空/よぞら]をチェックしている。,255,255,84,84,84,84,84,84,84
黒上 呪,くろがみ のろい,くろがみ,Kurogami Noroi,Kurogami,[黒/くろ][魔/ま][術/じゅつ]にくわしく　[試合/しあい][前/まえ]に[相手/あいて]チームを[呪/のろ]っているとか。,240,240,79,89,99,94,79,79,74
魔界 崇雄,まかい たかお,まかい,Makai Takao,Makai,[自分/じぶん]は[人間/にんげん]ではないと[言/い]いはりいつも[奇妙/きみょう]なふく[面/めん]をしている。,210,210,69,69,69,69,69,69,69
猪口 兵吾,いのくち ひょうご ,イノシシ,Inokuchi Hyougo,Inoshishi,ボールにまっすぐ[突/つ]っ[込/こ]んでキープする[姿/すがた]は　まさにイノシシ！,300,225,99,99,69,79,69,99,79
鶏井 亮太,とりい りょうた,ニワトリ,Torii Ryouta,Niwatori,まるでニワトリのツッツキのようにしつこくチャージをくりかえす。,285,300,79,74,69,79,69,94,99
魚住 拓人,うおずみ たくと,サカナ,Uozumi Takuto,Sakana,[海/うみ]の[生物/せいぶつ]にくわしいが　[泳/およ]げない。プールの[授業/じゅぎょう]は[休/やす]みがち。,240,240,79,74,79,69,99,79,74
蛙田 達士,かえるだ たつひと,カエル,Kaeruda Tatsuhito,Kaeru,ジャンプ[力/りょく]がすごく　[部屋中/へやじゅう]カエルグッズであふれている。,240,240,79,74,79,69,99,79,74
獅子王 吼,ししおう こう,ライオン,Shishiou Kou,Raion,かれに[逆/さか]らえるものは[誰/だれ]もいない。[野生/やせい]の[王/おう]として[守/まも]りをかためる。,300,225,99,99,69,79,69,99,79
香芽 レオン,かめ れおん,カメレオン,Kame Reon,Kamereon,[存在/そんざい][感/かん]を[完全/かんぜん]に[消/け]しさりこっそりボールをうばっていく。,240,240,79,89,99,94,79,79,74
大鷲 誠次,おおわし せいじ,ワシ,Oowashi Seiji,Washi,ワシのような[視力/しりょく]で[相手/あいて]の[動/うご]きを[読/よ]みとり　おそいかかってくる。,240,240,79,74,79,69,99,79,74
猿田 登,さるた のぼる,サル,Saruta Noboru,Saru,[体/からだ]は[小/ちい]さいけど　[曲芸/きょくげい]のような[動/うご]きで[相手/あいて]をほんろうするぞ。,240,240,79,89,99,94,79,79,74
五利 真吾,ごり しんご,ゴリラ,Gori Shingo,Gorira,いかつい[顔/かお]と　がっしりした[体格/たいかく]で[敵/てき]ゴールになぐりこむ。,300,225,99,99,69,79,69,99,79
蛇丸 彰真,へびまる しょうま,ヘビ,Hebimaru Shouma,Hebi,ボールに[食/く]らいつくと　まるで[巻/ま]きついたかのように　はなさない。,240,240,79,89,99,94,79,79,74
水前寺 馳威太,すいぜんじ ちいた,チーター,Suizenji Chiita,Chiitaa,１００メートル１０[秒台/びょうだい]の[驚異/きょうい]のスピードで　[敵/てき]を[抜/ぬ]きさる。,240,240,79,74,79,69,99,79,74
小荒 登,こあら のぼる,コアラ,Koara Noboru,Koara,[地面/じめん]よりも[木/き]の[上/うえ]がおちつくという[変/へん]な[性格/せいかく]の[持/も]ち[主/ぬし]。,240,240,79,74,79,69,99,79,74
判 竹夫,ばん たけお,パンダ,Ban Takeo,Panda,[一見/いっけん]やさしそうでみんなのアイドルだが　[実/じつ]は[性格/せいかく]はけっこう[凶暴/きょうぼう]。,240,240,79,89,99,94,79,79,74
荒井川 熊巳,あらいがわ くまみ,アライグマ,Araigawa Kumami,Araiguma,[食/た]べ[物/もの]のきれいさにこだわり[食材/しょくざい]は１[度/ど]は[洗/あら]わないと[気/き]がすまない。,255,255,84,84,84,84,84,84,84
根津 光夫,ねず みつお,ネズミ,Nezu Mitsuo,Nezumi,チーズが[大好/だいす]きで　[食/た]べにくい[青/あお]カビチーズも　たくさん[食/た]べている。,210,210,69,69,69,69,69,69,69
牛尾 空也,うしお くうや,ウシ,Ushio Kuuya,Ushi,[食/た]べ[物/もの]が[切/き]れると　[猛牛/もうぎゅう]のように[暴/あば]れ[出/だ]す[食/く]いしん[坊/ぼう]。,300,225,99,99,69,79,69,99,79
杉森 威,すぎもり たけし,たけし,Sugimori Takeshi,Takeshi,[洗脳/せんのう]によって　[心/こころ]の[乱/みだ]れを[消/け]しさった[御影/みかげ]の[司令塔/しれいとう]。,255,255,84,84,84,84,84,84,84
弘山 誘,ひろやま ゆう,ゆう,Hiroyama Yuu,Yuu,[人気者/にんきもの]になりたくてサッカーしていたが[今/いま]は　それを[洗脳/せんのう]にたよっている。,240,240,79,74,79,69,99,79,74
花岡 強,はなおか つよし,つよし,Hanaoka Tsuyoshi,Tsuyoshi,[体/からだ]は[強化/きょうか]されたものの　[時/とき]に[我/われ]を[失/うしな]ってしまうようになった。,255,255,84,84,84,84,84,84,84
室伏 恐,むろぶし きょう,きょう,Murobushi Kyou,Kyou,[洗脳/せんのう]で[恐怖/きょうふ]をうえつけられ[何/なに]かにおびえ　[力/ちから]を[引/ひ]き[出/だ]している。,300,225,99,99,69,79,69,99,79
稲田 則,いなだ のり,のり,Inada Nori,Nori,[洗脳/せんのう]によって　どんな[行動/こうどう]でも　[規則/きそく][通/どお]りにこなすようになった。,300,225,99,99,69,79,69,99,79
寺川 巌,てらかわ いわお,いわお,Terakawa Iwao,Iwao,[洗脳/せんのう]によって[感情/かんじょう]を[失/うしな]いあぶないプレイも[平気/へいき]で[行/おこな]う。,240,240,79,89,99,94,79,79,74
藤丸 啓,ふじまる けい,けい,Fujimaru Kei,Kei,[洗脳/せんのう]で[神/かみ]を[見/み]たと[信/しん]じこみ[命令/めいれい]をうたがうことはない。,240,240,79,74,79,69,99,79,74
山郷 暴,さんごう ばく,ばく,Sangou Baku,Baku,[洗脳/せんのう]によって　[凶暴性/きょうぼうせい]が[増/ま]し　[反則/はんそく]すれすれのはげしいプレイをする。,300,225,99,99,69,79,69,99,79
山岸 迫,やまぎし せり,せり,Yamagishi Seri,Seri,[絶対/ぜったい][勝/か]たなければというプレッシャーを[植/う]えつけられた　[孤独/こどく]な[選手/せんしゅ]。,240,240,79,89,99,94,79,79,74
大部 信,おおべ しん,しん,Oobe Shin,Shin,[洗脳/せんのう]によって　[自分/じぶん]たちのサッカーが[一番/いちばん]だと[信/しん]じこまされている。,255,255,84,84,84,84,84,84,84
下鶴 改,しもづる あらた,あらた,Shimozuru Arata,Arata,おとなしかった[性格/せいかく]が　[洗脳/せんのう]によって　[攻撃/こうげき][的/てき]になってしまったという。,240,240,79,89,99,94,79,79,74
真下 乏,ましも とぼし,ましも,Mashimo Toboshi,Mashimo,[貧/まず]しい[家/いえ]をすくうために[洗脳/せんのう]を[受/う]けてプロになろうとしている。,240,240,79,74,79,69,99,79,74
都築 静,つづき しずか,つづき,Tsuzuki Shizuka,Tsuzuki,[洗脳/せんのう]で　[出/だ]せなかった[本当/ほんとう]の[自分/じぶん]が[出/だ]せるようになったという。,255,255,84,84,84,84,84,84,84
平生 仁,ひらお じん,ひらお,Hirao Jin,Hirao,サッカー[好/ず]きな[病気/びょうき]の[弟/おとうと]をはげますため[洗脳/せんのう]を[受/う]けることにした。,255,255,84,84,84,84,84,84,84
長友 喪,ながとも そう,ながとも,Nagatomo Sou,Nagatomo,[洗脳/せんのう]によって　[試合/しあい]でやった[反則/はんそく]をまったく[覚/おぼ]えていない。,300,225,99,99,69,79,69,99,79
水淵 無,みずぶち なし,みずぶち,Mizubuchi Nashi,Mizubuchi,[周/まわ]りから[見下/みくだ]されていたが　[洗脳/せんのう]で[全/すべ]てを[見下/みくだ]すようになった。,210,210,69,69,69,69,69,69,69
相戸留 捜,あいどる そう ,アイドル,Aidoru Sou,Aidoru,デビュー[前/まえ]のアイドルをおっかけ[将来/しょうらい]のスターをさがす[情熱家/じょうねつか]。,285,300,79,74,69,79,69,94,99
線路 鉄雄,すじみち てつお,てっちゃん,Sujimichi Tetsuo,Tecchan,[鉄道模型/てつどうもけい]が[大好/だいす]きで　いつか[線路/せんろ]だけの[部屋/へや]を[持/も]つのが[夢/ゆめ]。,285,300,79,74,69,79,69,94,99
野部流 来人,のべる らいと,ノベル,Noberu Raito,Noberu,ライトノベルが[好/す]きで　[自分/じぶん]でも[毎月/まいつき]コンテストに[作品/さくひん]を[送/おく]っている。,255,255,84,84,84,84,84,84,84
無敵 英雄,むてき ひでお,ヒーロー,Muteki Hideo,Hiiroo,[特撮/とくさつ]ヒーローにあこがれ　[近所/きんじょ]の[小学生/しょうがくせい]とヒーローごっこをしている。,285,300,79,74,69,79,69,94,99
仮沢 装,かりさわ そう,コスプレ,Karisawa Sou,Kosupure,アニメのコスプレをするのが[大好/だいす]き。お[金/かね]がないので[服/ふく]は[自分/じぶん]で[作/つく]る。,255,255,84,84,84,84,84,84,84
御良 一輝,おんら いつき,オンライン,Onra Itsuki,Onrain,ネットワークゲームにハマって[夜/よ]ふかしし　[授業中/じゅぎょうちゅう]はいつも[寝/ね]ている。,210,210,69,69,69,69,69,69,69
自作 派流 ,おのとも はる,じさくは,Onotomo Haru,Jisakuha,パソコンは[全部/ぜんぶ][自分/じぶん]で[組/く]み[立/た]てる。[家/いえ]には１０[台/だい]をこえるマシンが。,240,240,79,89,99,94,79,79,74
呂簿 合機,ろぼ ごうき,ロボ,Robo Gouki,Robo,ロボットアニメが[彼/かれ]の[生/い]きがい。[合体/がったい]シーンではテレビに[絶叫/ぜっきょう]。,240,240,79,74,79,69,99,79,74
芸夢 好武,げいむ このむ,ゲームき,Geimu Konomu,Geemuki,[筋金入/すじがねい]りのゲームマニア。ゲームはすべて[発売日/はつばいび]に[手/て]に[入/い]れる。,285,300,79,74,69,79,69,94,99
漫画 萌,まんが もえ,まんがか,Manga Moe,Mangaka,この[年/とし]で[売/う]れっ[子/こ]の[萌/も]えマンガ[作家/さっか]。[学校/がっこう]でもよくサインをねだられる。,240,240,79,89,99,94,79,79,74
明井戸 達人,あけいと たつひと,アーケード,Akeito Tatsuhito,Aakeedo,ゲームセンターのメダルで[生活/せいかつ]しているというゲームの[達人/たつじん]。,240,240,79,89,99,94,79,79,74
木内 努,きうち つとむ,きうち,Kiuchi Tsutomu,Kiuchi,[自分/じぶん]でラジオやトランシーバーなどを[組/く]み[立/た]てるのが[得意/とくい]なパーツマニア。,240,240,79,74,79,69,99,79,74
造形 製雄,ぞうけい さくお,フィギュア,Zoukei Sakuo,Figyua,フィギュア[作/つく]りはプロ[顔/かお]まけの[技術/ぎじゅつ]でその[作品/さくひん]は　プレミアつきらしい。,300,225,99,99,69,79,69,99,79
闘馬 草太,とうま そうた,とうま,Touma Souta,Touma,[格闘/かくとう]ゲーが[大好/だいす]きで　[人気/にんき]のないキャラで[勝/か]つのがポリシー。,210,210,69,69,69,69,69,69,69
声模 索太,せいも さくた,せいゆう,Seimo Sakuta,Seiyuu,[声優/せいゆう]が[大好/だいす]きで　いつもＣＤを[聞/き]いて[声/こえ]マネの[練習/れんしゅう]をしている。,210,210,69,69,69,69,69,69,69
熱斗 探李,ねっと さぐり,ネット,Netto Saguri,Netto,ネットでおもしろいサイトをさがしてはウイルスに[感染/かんせん]している　こりない[人/ひと]。,240,240,79,74,79,69,99,79,74
百地 三太,ももち さんた,ももち,Momochi Santa,Momochi,[守/まも]りのかたい[名/めい]キーパーだがその[素顔/すがお]はチームメイトにも[見/み]せない。,255,255,84,84,84,84,84,84,84
藤林 長門,ふじばやし ながと,ふじばやし,Fujibayashi Nagato,Fujibayashi,ライフルの[名手/めいしゅ]で　１００メートル[先/さき]の[小/ちい]さな[的/まと]でも[外/はず]さない。,240,240,79,74,79,69,99,79,74
高坂 仁,こうさか じん,こうさか,Kousaka Jin,Kousaka,すぐに[熱/ねつ]を[出/だ]しやすい[体質/たいしつ]で　[十分/じゅうぶん]に[活躍/かつやく]できたためしがない。,240,240,79,74,79,69,99,79,74
児雷也 蟇助,じらいや がますけ,じらいや,Jiraiya Gamasuke,Jiraiya,どんなケガにも「ガマの[油/あぶら]が[一番/いちばん]きく」と[言/い]いはって　だれにでもぬりたくる。,300,225,99,99,69,79,69,99,79
石川 五衛太,いしかわ ごえた,ゴエモン,Ishikawa Goeta,Goemon,[盗/ぬす]めないものはないというが[金/かね][持/も]ちしかねらわないという。,300,225,99,99,69,79,69,99,79
風魔 小平太,ふうま こへいた,ふうま,Fuuma Koheita,Fuuma,[仲間/なかま]にしかわからない[合/あ]い[言葉/ことば]で[指示/しじ]を[出/だ]す[裏/うら]の[指揮官/しきかん]。,240,240,79,89,99,94,79,79,74
甲賀 幻,こうが げん,こうが,Kouga Gen,Kouga,[幻術/げんじゅつ]を[得意/とくい]とし　[目/め]くらましのような[動/うご]きで[相手/あいて]をこんらんさせる。,240,240,79,74,79,69,99,79,74
猿飛 佐之助,さるとび さのすけ,さるとび,Sarutobi Sanosuke,Sarutobi,[猿/さる]のように[軽/かる]い[身/み]のこなしで　どんなところにも[登/のぼ]ることができる。,240,240,79,74,79,69,99,79,74
柳生 十郎,やぎゅう じゅうろう,やぎゅう,Yagyuu Juurou,Yagyuu,[忍術/にんじゅつ]と[剣術/けんじゅつ]に[秀/ひい]でているが[眼帯/がんたい]で[力/ちから]をおさえている。,240,240,79,89,99,94,79,79,74
初鳥 伴三,はつとり はんぞう,はつとり,Hatsutori Hanzou,Hatsutori,[個人技/こじんぎ]よりも　[集団行動/しゅうだんこうどう]が[得意/とくい]でチームーワークをたもつキーマン。,255,255,84,84,84,84,84,84,84
霧隠 才次,きりがくれ さいじ,きりがくれ,Kirigakure Saiji,Kirigakure,[優秀/ゆうしゅう]な[忍者/にんじゃ]だが　ときどきサッカーのルールをわすれて[手/て]を[使/つか]ってしまう。,255,255,84,84,84,84,84,84,84
鉢屋 也三郎,はちや やさぶろう,はちや,Hachiya Yasaburou,Hachiya,[昔/むかし]は[暴/あば]れ[者/もの]だったが　サッカーを[通/つう]じてまじめなサッカー[忍者/にんじゃ]になった。,255,255,84,84,84,84,84,84,84
加藤 段,かとう だん,かとう,Katou Dan,Katou,とびぬけたジャンプ[力/りょく]をもっているが　[高/たか]く[飛/と]びすぎて[逆/ぎゃく]にミスが[多/おお]い。,240,240,79,89,99,94,79,79,74
出浦 清盛,いでうら きよもり,いでうら,Ideura Kiyomori,Ideura,[実力/じつりょく]もあるが[人/ひと]に[教/おし]えるのもうまく[息/いき]のあったチームプレイが[得意/とくい]。,300,225,99,99,69,79,69,99,79
滝川 一馬,たきがわ かずま,たきがわ,Takigawa Kazuma,Takigawa,スパイ[活動/かつどう]にすぐれており　[試合/しあい]よりもその[前/まえ]に[活躍/かつやく]する。,240,240,79,74,79,69,99,79,74
城戸 弥門,きど やもん ,きど,Kido Yamon,Kido,[相手/あいて]をマークするのがうまく[相手/あいて]が[音/ね]を[上/あ]げるまでつけ[回/まわ]す。,300,225,99,99,69,79,69,99,79
綾野 勇一,あやの ゆういち,あやの,Ayano Yuuichi,Ayano,[漬/つ]け[物/もの]にうるさくて　[食事/しょくじ]のときに[漬/つ]け[物/もの]がないとたちまちフキゲンに。,285,300,79,74,69,79,69,94,99
炭野 詠輔,すみの えいすけ,すみの,Sumino Eisuke,Sumino,おばあさんの[強/つよ]い[希望/きぼう]で　[今/いま]でも[石炭/せきたん]で[風呂/ふろ]をわかしたりするらしい。,255,255,84,84,84,84,84,84,84
芹沢 和憲,せりざわ かずのり,せりざわ,Serizawa Kazunori,Serizawa,かばんを[使/つか]わず　いつもふろしきで[学校/がっこう]に[通/かよ]っている[変/か]わり[者/もの]。,240,240,79,74,79,69,99,79,74
牧谷 寛,まきや ひろし,まきや,Makiya Hiroshi,Makiya,[農家/のうか]の[息子/むすこ]で　[朝/あさ][早/はや]くからニワトリや[牛/うし]の[世話/せわ]をしているらしい。,300,225,99,99,69,79,69,99,79
塩谷 ヒロ,しおたに ひろ,しおたに,Shiotani Hiro,Shiotani,[携帯電話/けいたいでんわ]どころか　いまだに[家/いえ]は[黒電話/くろでんわ]だが[不自由/ふじゆう]はないという。,255,255,84,84,84,84,84,84,84
山根 羊,やまね よう,やまね,Yamane You,Yamane,[飼/か]っているヤギのミルクを[毎朝/まいあさ][飲/の]んで[丈夫/じょうぶ]な[体/からだ]を[手/て]に[入/い]れた。,240,240,79,74,79,69,99,79,74
育井 庄児,いくい しょうじ,いくい,Ikui Shouji,Ikui,[両親/りょうしん]にかわって５[人/にん]の[兄弟/きょうだい]の[世話/せわ]をしていたお[兄/にい]さん。,285,300,79,74,69,79,69,94,99
大鯉 昇,おおごい のぼる,おおごい,Oogoi Noboru,Oogoi,[毎朝/まいあさ]　[近/ちか]くにある[滝/たき]に[打/う]たれて[精神力/せいしんりょく]をきたえている。,285,300,79,74,69,79,69,94,99
原野 徹,はらの とおる,はらの,Harano Tooru,Harano,[野鳥/やちょう]をつかまえては[焼/や]き[鳥/とり]にして[食/た]べている[野生児/やせいじ]。,285,300,79,74,69,79,69,94,99
根上 大地,ねがみ だいち,だいち,Negami Daichi,Daichi,[土/つち]の[上/うえ]を[歩/ある]くのが[大好/だいす]き。いつもハダシで[走/はし]り[回/まわ]っている。,255,255,84,84,84,84,84,84,84
田主丸 茂樹,たぬしまる しげき,たぬしまる,Tanushimaru Shigeki,Tanushimaru,[山奥/やまおく]から　ありえないほどの[道/みち]のりを[歩/ある]いて[通学/つうがく]しているらしい。,240,240,79,74,79,69,99,79,74
草生 久志,くさお ひさし,くさお,Kusao Hisashi,Kusao,グラウンドの[草/くさ]むしりが[好/す]きだというむじゃきな[変/か]わり[者/もの]。,255,255,84,84,84,84,84,84,84
米山 植人,よねやま うえひと,よねやま,Yoneyama Uehito,Yoneyama,いまだに[手作/てづく]りの[米/こめ]にこだわっていて　[家族/かぞく]みんなで　[手作業/てさぎょう]をしている。,300,225,99,99,69,79,69,99,79
